Unnamed: 0,Название СТЕ,ОКПД-2
454,саморезыуниверсальныеоцинкованные3.5х30мм,25.72.14.190
455,рулетка5мx25ммgrossergonomisch(31103),26.51.33.199
456,насадкадляшуруповертаtorsionpн225ммdiager,28.24.11.000
457,наборбуровd.borsds-plus5-12мм,25.73.40.111
458,телескопическийудлинитель,32.91.19.120
459,реализацияхранилищданныхsql,26.20.21.120
460,разработкамоделейданныхsql,62.01.29.000
461,"обучениепопрограммеповышенияквалификации""обновлениезнанийинавыковдляработысsqlserver2016""",85.42.19.900
462,"корзинаофисная10лпластик,чернаяattache",22.29.25.000
463,перчаткирабочиетрикотажныекомусспвхпротектор4нити10класс43г10парвупаковке,14.12.30.150
464,полотнотехническоевафельноеплот.-145г/м(60мх45см)отбеленное,13.20.20.114
465,пленкапузырчатая3-слойная1.5х50м,32.50.50.190
466,контейнердлямусораideaэко50л,29.20.21.129
467,короб650х450х450картонт23бурый10шт./уп,17.23.13.193
468,соединительнаяклемма221-413,27.33.13.120
469,"удлинитель25мнакатушкеluxпвс2x0.75,4розеткиб/з24025",25.73.60.190
470,клемма5-проводная221-415(221-415),27.33.13.120
471,розеткаrj-45,27.33.13.110
472,"отверткаkraftoolреверсив,43предм(25556-h43)",32.50.13.190
473,"наборотвертокдиэлектрических1000вспробником,8предметов,пластиковыйкейс,энкор19835",25.73.30.163
474,термогигрометрtesto605-h1,26.51.51.140
475,люксметр-пульсметрradexlupin,26.51.53.160
476,штангенциркуль150ммторех31с615,26.51.33.121
477,термогигрометрtesto410-2,26.51.51.140
478,обслуживаниеисодержаниепомещения,81.21.10.000
479,"обучениепопрограмме:""охранатруда.руководители,специалистыичленыкомиссийпопроверкезнаний(очно-заочнаяформаобучениясиспользованиемдистанционныхтехнологий)""",85.31.11.000
480,"обучениепопрограмме:устройствоибезопаснаяэксплуатацияэлектроустановокнапряжениемдо1000в.электробезопасностьiiiгруппы""",85.31.11.000
481,"обучениепопрограмме:""устройствоибезопаснаяэксплуатацияэлектроустановокнапряжениемдо1000в.электробезопасностьiiгруппа""",85.42.19.900
482,"обучениепопрограмме:семинардляэлектротехническогоперсонала«устройствоибезопаснаяэксплуатацияэлектроустановокнапряжениемдо1000в.электробезопасностьiii,ivгруппы».",85.31.11.000
483,"обучениепопрограмме:""пожарно-техническийминимумдляруководителейиспециалистов(очно-заочноеобучениесприменениемдистанционныхтехнологий)",85.23.11.000
484,услугипопредоставлениюдоступаксистеметестированияиформированияоперативныхотчетов,70.21.10.000
485,выполнениеработпоизготовлениюофисноймебели,31.01.12.139
486,текущийремонт,41.20.20.180
487,разработкаивнедрениеинформационныхсистемэлектроннаябиблиотека«деловаябиблиотекаальпинадиджитал»,36.00.20.130
488,"наборсиловыхотвертоксдержателем,6предметовмастак04-6grb",32.50.13.190
489,лентаk-flex15м,22.29.21.000
490,пирометрtesto830-t1,26.51.51.110
491,логгерtesto174tсusb-интерфейсом,26.51.51.110
492,физическаяохрана,84.24.19.000
493,маскамедицинская(3-хслойная)одноразовая,32.50.50.190
494,перчаткиодноразовыенитриловые,22.19.60.111
495,перчаткинитриловые,22.19.60.119
496,оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограммеповышенияквалификациивсфереинтернетмаркетингаиработысбольшимиданными,85.31.11.000
497,оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограммеповышенияквалификациивсфересетевойбезопасностиипередовойпрактикиадминистрированиясерверныхсистем,85.42.19.900
498,оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограммеповышенияквалификациивсфереразработкивебсерверовиуправленияитпроектами,85.42.19.900
499,батарейкаалкалиноваяgpsuper6lr619в1шт.,27.20.11.000
500,батарейкаалкалиноваяduracellultrapoweraa12шт.,27.20.11.000
501,"батарейкаалкалиноваяduracellprofessionalааlr061,5в12шт.",27.20.11.000
502,"батарейкаалкалиноваяgpааа1,5в20шт.",27.20.11.000
503,дезинсекция,81.29.11.000
504,герметиксиликоновыйprofil280мл,20.30.22.170
505,сетевойфильтрzispilots6/5м/10а/80дж/белый,27.33.13.190
506,сетевойфильтрdefenderdfs153(6/3м/10а/125дж/черный)вкоробке,27.33.13.190
507,сетевойфильтрpilot-s(6/7м/10а/80дж/белый),27.33.13.190
508,сетевойфильтрdefenderdfs605(6/5м/10а/220дж/белый),27.33.13.190
509,услугипопредоставлениюдоступакинформационно-справочнойсистеме,62.02.30.000
510,техническоеобслуживаниезданийипомещений,81.10.10.000
511,уборкапомещений,82.11.10.000
512,услугипультовойохранысиспользованиемтревожнойкнопки,80.20.10.000
513,"лентапротивоскользящая50ммх18,3мжелто-черная",22.29.21.000
514,"лентаscotchмонтажнаядвусторонняяпрозрачная19мм*1,5м",22.29.21.000
515,изготовлениюнавесныхполок,31.09.11.130
516,погрузо-разгрузочныеработыпривнутригородскойперевозкегрузовикорреспонденции,52.23.19.114
517,тепловизорcemdt-870(безповерки),26.51.66.124
518,аккумуляторныйфонарь3wledтрофиtsp3w,27.40.39.113
519,очкизащитные«ледколор»прозрачные,32.50.42.120
520,консультационныеуслугипосозданиюпрезентаций,26.40.33.190
521,услугипультовойохранысиспользованиемтревожнойкнопки,80.20.10.000
522,"бумагадляофиснойтехникиiqallround(а4,80г/кв.м,белизна162%cie,500листов)",17.12.14.129
523,"бумагадляофиснойтехникиiqallroundа3,80г/м2,500л.,162%",17.12.14.129
524,дезинфекция,81.29.11.000
525,предоставлениедоступаксистемепрохожденияонлайн-тестов(52тестаспособностейswiftanalysisaptitude)иопросников(52опросникаworkstrengths),58.11.30.190
526,"конвертпочтовыйс4(229х324мм)крафтстреугольнымклапаном,склеем,250шт/упак",17.23.12.110
527,"конвертс4,комплект250шт.,отрывнаяполосаstrip,внутренняязапечатка,229х324мм",17.23.12.110
528,"конвертс5,комплект1000шт.,отрывнаяполосаstrip,правоеокно,внутренняязапечатка,162х229мм",17.23.12.110
529,"конверт-пакетс4объемный,229х324х40мм,изкрафт-бумаги,сотрывнойполосой,на250листов",32.50.50.190
530,кондиционернастенныйdaikinfaa71a/rr71bvnord-40t,28.25.12.130
531,монтажныеработыпоскс(структурированнойкабельнойсистемы),43.29.19.190
532,архивныйпереплет,17.23.13.193
533,баллонсменныйдляавтоосвежителяdiscoverocean(океан)320мл.спрей,20.41.41.000
534,"пленкавоздушно-пузырчатая3-хслойная,ширина0,6м,длина100м,плотность60г/м2",32.50.50.190
535,"стаканодноразовый200млпрозр.,дляхол/гор.,комуспп,100шт/уп",22.29.23.110
536,полотенцебумажноеtorkadvanced2сл.150м600л.белыйдляmaticsystem1/6,17.22.11.130
537,"аптечкадляоказанияпервоймедицинскойпомощиработникам(приказ№169нот05.03.2011г.),впластиковомшкафуфэст(250*300*110)",21.20.24.170
538,разработкаивизуализациянавигационнойсистемы,26.60.12.119
539,"водапитьевая""мия""0,33л",11.07.11.121
540,текущийремонтпомещений,41.20.20.180
541,подставканастольнаяattacheeconomyattacheа5вертикальнаядвусторонняяакрил2штукиупаковка,22.29.25.000
542,"доска-флипчартbraubergмагнитно-маркерная,стандарт,70х100см,гарантия10лет,передвижная,россия",32.99.53.130
543,подставканастольнаядляинформацииа6,22.29.25.000
544,"доскамагнитно-маркернаяberlingo""premium"",100*150см,алюминиеваярамка,полочка",32.99.53.130
545,подставканастольнаяattacheeconomyattacheа4вертикальнаядвусторонняяакрил2штукиупаковка,22.29.25.000
546,"доскамагнитно-маркернаяbrauberg""premium"",120х240см,улучшеннаяалюминиеваярамка,гарантия10лет",32.99.53.130
547,"доскамагнитно-маркернаяberlingo""premium"",90*120см,алюминиеваярамка,полочка",32.99.53.130
548,образовательныеуслугиподополнительнымпрофессиональнымпрограммамповышенияквалификациипоработеспрограммнымобеспечением1с,85.42.19.900
549,"монтаж,установка,наладкасистемконтролядоступаиуправлениядоступом",26.30.50.114
550,программаповышенияквалификациипокурсу«внутреннийаудит»,85.42.19.900
551,утилизация,62.02.20.190
552,выполнениеработпомонтажуипуск-наладкесистемыконтроляиуправлениядоступом,33.20.42.000
553,дезинсекция,81.29.11.000
554,услугипоуборке,81.21.10.000
555,услугипопредоставлениюдоступакпрограммномупродукту,63.11.11.000
556,монтажипуск-наладкасистемыконтроляиуправлениядоступом,26.30.11.190
557,холодильникatlantмх5810-62белый,27.51.11.110
558,термопот supratps-5005st(900вт),27.51.24.190
559,чайникэлектрическийboschtwk3a0132400вт1.7лчерный,27.51.24.110
560,печьмикроволноваяsamsungme83xr/bwt800втчерный,27.51.27.000
561,предоставлениедоступакинформационномуресурсуспарк(4доступа),63.12.10.000
562,семинарыповажнейшимизменениямвобластибухгалтерскогоучётаизпервыхустведущихлекторовминфинароссии.,85.42.19.900
563,услугителефоннойсвязи,61.10.11.110
564,"повышениеквалификациипопрограмме""управлениегосударственнымиимуниципальнымизакупками""",85.31.11.000
565,"предэкзаменационнаяподготовкапокурсу:""нормыиправилаработывэлектроустановкахпотребителейэнергии""",85.42.19.900
566,оказаниеинформационно-консультационныхуслугпометодикамhogan,63.99.10.190
567,погрузо-разгрузочныеработыпривнутригородскойперевозкегрузовикорреспонденции,52.23.19.114
568,текущийремонт,41.20.20.180
569,текущийремонт,41.20.20.180
570,архивныйпереплет,17.23.13.193
571,"сенсорныйдозаторкрема,геля,шампунякартриджный""meridaharmony""abs-пластик",21.20.10.159
572,дезинфицирующийгельдлярукmeridaharmony-u,20.20.14.000
573,перчаткинитриловыеsfml,22.19.60.119
574,маскамедицинскаячистовье,32.50.50.190
575,услугипопредоставлениюдоступакпрограммномупродукту,63.11.11.000
576,"водапитьевая""мия""0,33л",11.07.11.121
577,"рециркуляторбактерицидныйову-06""солнечныйбриз-6""",32.50.50.190
578,"рециркуляторбактерицидныйову-01""солнечныйбриз""",26.60.11.129
579,подставкапередвижнаядлярециркуляторовбриз,32.50.50.190
580,штампсамонаборныйpr.c20/3-set38х14(аналог4911/db)colop,32.99.16.120
581,"степлер№10erichkrause,до20листов,пластиковыйкорпус,eco",25.99.22.130
582,"клейкаялентаканцелярскаяworkmate,18ммх33м,прозрачная",22.29.21.000
583,"блокбумажный90х90х50ммбелый,офсетбезсклейкивпластиковойподставке,эврика",17.23.13.199
584,"магнитныйдержательдлядосокattacheдиам.30мм,6шт/уп",32.99.53.130
585,"антистеплерofficespace,черный",25.99.22.130
586,бейджвертикальныйofficespace63*105мм(размервставки55*85мм)бездержателя,22.29.25.000
587,файл-вкладышofficespaceа440мкм,22.29.25.000
588,"плёнкадляламинированияа4officespace216*303мм,200мкм,глянец,100л/уп",22.21.42.120
589,линейка30смчернаястаммлн-35,26.51.33.141
590,"папка-регистраторberlingo""megatop"",50мм,бумвинил,скарм.накорешке,нижнийметал.кант,чёрная",17.23.13.193
591,"блокдлязаписейсамоклеющийся«officeline»,75х75мм,100листов,голубой,12штвупаковке",25.99.23.000
592,скобыдлястеплера№24/6attacheоцинкованные(1000штуквупаковке),25.99.23.000
593,"блокдлязаписейсамоклеющийся""officeline"",75х75мм,желтый,100листоввблоке",17.23.13.199
594,"клей-карандашscotch,21г(3м,сша)",20.52.10.190
595,"папкаархивнаяскладнаяattache,120мм,красный",17.23.13.193
596,"папка-регистраторberlingo,70мм,двустороннийбумвинил,скарманомнакор.,ниж.метал.кант,черная",17.23.13.193
597,зажимыдлябумаг«officeline»19ммчерные12шт,25.99.23.000
598,люверсыдлядыроколовkw-trioзолотистыедиаметр4.8мм(250штуквупаковке),32.99.23.120
599,"плёнкадляламинированияа3officespace303*426мм,150мкм,глянец,100л/уп",22.21.42.120
600,"скобы№10berlingo,1000шт/уп",25.99.23.000
601,точилкаattacheдвойнаясконтейнером,25.71.13.110
602,"зажимыдлябумаг""officeline""32ммчерные12шт",25.99.23.000
603,"коробархивныйнакнопкеattache70ммпластик,синий",22.29.25.000
604,"ножницыattache169ммспласт.прорезин.руч.attache,цветзеленый/черный",25.71.11.120
605,"штампсамонаборныйcolop,76x37мм,7/9строк,43знака,printerc60-set-f",32.99.16.120
606,спрейдляэкрановжкмониторовpromegaoffice,26.40.20.122
607,зажимыдлябумаг«officeline»51ммчерные12шт,25.99.23.000
608,"блоксамоклеящийся75х75мм,зеленый,100листов,75г/м,officeline",17.23.13.199
609,"блокбумажный,90х90х50мм,белый,офсет,втермопленкеworkmate",17.23.13.199
610,дыроколkw-trioдлялюверсовна30л.серебристый,25.99.22.130
611,образовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивобластисовременныхметодовуправленияданнымиимоделированиябизнес-процессов,85.23.11.000
612,"техническоеобслуживание,содержаниеитекущийремонтоборудования.",81.10.10.000
613,принтерzebragk420t,26.20.16.120
614,"уничтожительдокументовhsmshredstarx5бел,4ур.секр.,6лист,18л",28.23.23.000
615,"риббонresin,110ммх74м,втулкадиаметр12,7мм(0,5дюйма)хширина110мм,красящийслойнаружу(out)",24.10.41.000
616,уничтожительдокументовhsmshredstars10(6мм)white,28.23.23.000
617,брошюровщикgladworkbusinesscb-25d,28.99.11.125
618,выполнениеработпомонтажуипуск-наладкесистемыконтроляиуправлениядоступом,33.20.42.000
619,перчаткизащитныеполиэтиленовые,14.12.30.160
620,оказаниеуслугпооцифровкедокументов,63.11.11.000
621,"документарноеобеспечение,делопроизводство",26.20.16.150
622,"доступксистеме""мойинтегрум""",62.01.29.000
623,выполнениеработпоизготовлениюпечатейиштампов,32.99.16.120
624,изготовлениелегкихофисныхперегородок,25.11.23.120
625,образовательныеуслугиподополнительнымпрофессиональнымпрограммамповышенияквалификациипосетевымтехнологиямciscoиmicrosoft,85.42.19.900
626,информационно-консультационныеуслугипоработеспсихометрическимиинструментами,62.02.30.000
627,"обучениепокурсу""компьютернаякриминалистика""",85.41.93.000
628,профессиональнаяпрограммаповышенияквалификациипотематике«введениевbi»,85.42.19.900
629,оформлениеподписки,58.14.19.000
630,услугипопредоставлениюдоступаксправочно-правовойсистеме,58.29.50.000
631,выполнениеработпоизготовлениюэкрановфронтальныхдлярабочихстолов,32.99.11.192
632,физическаяохрана,84.24.19.000
633,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивобластиобъектно-ориентированногопрограммированияиадминистрированияос,85.42.19.900
634,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациипосетевымтехнологиямхраненияданных,85.23.11.000
635,изготовлениеполиграфическойпродукции,18.13.30.000
636,установкасистемыскуд,80.20.10.000
637,текущийремонт,41.20.20.180
638,физическаяохрана,84.24.19.000
639,доступкбазерезюмеповсейроссии,63.11.19.000
640,обзорзарплатрынкаинформационныхтехнологийвгородемоскве,62.09.20.120
641,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивобластифинансовимаркетинга,85.23.11.000
642,обучение.информационнаябезопасность,84.25.11.120
643,проведениеэкспертизытехническогосостоянияоборудования.,71.20.13.000
644,изготовлениеполиграфическойпродукции,18.13.30.000
645,физическаяохрана,84.24.19.000
646,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивсферепрограммирования,85.42.19.900
647,дезинфекция,81.29.11.000
648,установкасистемыскуд,80.20.10.000
649,техническоеобслуживаниезданийипомещений,81.10.10.000
650,оказаниеинформационно-консультационныхуслугпоразработкеметодологииописаниядолжностейработников(вэлектроннойформе),85.41.99.900
651,оказаниеинформационно-консультационныхуслугпоразработкеметодологииинтервьюдлясоставлениякарьерныхатласов(вэлектроннойформе),85.41.99.900
652,"оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограммеповышенияквалификации""оконтрактнойсистемевсферезакупок""",85.42.19.900
653,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациидляразработокнаjavaиoracle,85.41.99.900
654,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациипопрограмме«тестированиепрограммногообеспеченияипрограммныхсистем»,85.42.19.900
655,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивпрограмме«техническийписатель:созданиетехническойдокументации»,85.42.19.900
656,губкидлямытьяпосудыluscanмини,25.99.12.112
657,освежительвоздухаgoldwind2в1,20.41.41.000
658,бумагатуалетнаяд/диспtorkt2advancedmini2слбелвтор170м12рул120231,17.22.11.110
659,стаканодноразовый,22.29.23.110
660,средстводлямытьяпосудыvelly1ллимон_,20.41.32.111
661,баллонсменныйдляавтоосвежителяdiscoverocean(океан)320мл.спрей,20.41.41.000
662,полотенцебумажноеtorkadvanced2сл.150м600л.белыйдляmaticsystem1/6,17.22.11.130
663,услугипопредоставлениюдоступакпрограммномупродукту,63.11.11.000
664,освежительвоздухаgoldwind2в1,20.41.41.000
665,губкидлямытьяпосудыluscanмини,25.99.12.112
666,баллонсменныйдляавтоосвежителяdiscoverocean(океан)320мл.спрей,20.41.41.000
667,средстводлямытьяпосудыvelly1ллимон_,20.41.32.111
668,стаканодноразовый,22.29.23.110
669,бумагатуалетнаяд/диспtorkt2advancedmini2слбелвтор170м12рул120231,17.22.11.110
670,полотенцебумажноеtorkadvanced2сл.150м600л.белыйдляmaticsystem1/6,17.22.11.130
671,выполнениеработпопрограммированиюкартдоступавбазеданныхсистемыконтроляиуправлениядоступом,43.21.10.120
672,креслоофисноеchairmanсн901экокожачерное,31.01.12.160
673,креслоруководителябюрократoptimumкожачерное,31.01.12.160
674,креслоофисноеchairmanсн420кожабелое,31.01.11.150
675,креслоруководителяchairmanсн405экокожачерное,31.01.11.150
676,креслоофисноеchairman480экокожачерное,31.01.12.160
677,креслоофисноеchairmanсн420кожачерное,31.01.12.160
678,изготовлениерулонныхштор,13.92.22.120
679,сертификаттехническойподдержкипрограммногопродукта«businessstudio»,62.02.30.000
680,"батарейкаалкалиноваяduracellaaultralr61,5в12шт.",27.20.11.000
681,батарейкаалкалиноваяduracell6lr61крона9в1шт,27.20.11.000
682,"батарейкаduracellaaaultralr03-12bl1,5в12шт.",27.20.11.000
683,"бумагадляофиснойтехникиiqallroundа4,80г/м2,500л.,162%",17.12.14.129
684,уборкапомещений,82.11.10.000
685,присоска,26.60.12.140
686,практикапатронбзп13мм1/2-20unf+адаптерблистер031-006,28.24.11.000
687,"дюбельраспорныйtchappai8х40шипы+усы,полипропилен50шт-пакетtech-krep111471",25.94.11.110
688,"саморез4,2х32спрессшайбой(сверло)",25.94.11.120
689,монтировка,26.70.22.130
690,"саморезпрессшайбашсмм4,2х19ммострый,оцинкованный,шлицph2",25.72.14.190
691,"саморез3,5х51",25.94.11.120
692,"саморезtech-krep3,5*16редкаярезьба0,5кг",25.94.13.111
693,клеймоментсупергель3г,20.52.10.190
694,магнитныйбраслетснеодимовымимагнитамиmasterprofhs.110038,32.99.53.130
695,"саморезспрессшайбойсверло4,2x25шсмм(200шт.)",25.94.11.120
696,дюбельраспорныйчапай6х40,25.72.14.190
697,ремнитакелажныедлягрузчиков,14.19.31.130
698,"дюбельдлягипсокартонаdriva,нейлон5шт",23.62.10.000
699,сменноежалоdexterидержательдлябит,32.50.13.190
700,"отверткатестер70–250в,sparta,определениеэлектрическогополя,постоянного/переменноготока",26.60.13.190
701,"винтсамонар.редкаярезьба4,2х76окс.",24.20.40.000
702,"степлерstayermasterтип53,4-14мм(3150_z01)",25.99.22.130
703,"лентаоградительная50мм.,200м.,35мкр,красно-белая",22.29.21.000
704,наборторцевыхголовок96штstanley1-94-668,25.73.30.176
705,ножовкаподереву400ммgrosspiranha,25.73.20.110
706,"услугипохранениюоборудования,споследующейутилизацией",38.12.23.000
707,образовательныеуслугиподополнительнымпрофессиональнымпрограммамповышенияквалификации«программированиеисетевоеадминистрирование,85.42.19.900
708,оказаниеуслугпопредоставлениювозможностисвязатьсяссоискателями,63.12.10.000
709,подставкаподогнетушительп-15,28.99.52.000
710,огнетушительуглекислотныйоу-5,28.29.22.110
711,стеклодляпожарногошкафастекломаленькое(80х90мм),26.70.22.150
712,корзинадляпожарногорукавакрасная,22.19.30.137
713,огнетушительоп-5,28.29.22.110
714,изготовлениекомплектатабличек,95.29.19.221
715,оказанияуслугпоповеркесредствизмерений,71.12.40.129
716,обучениеподополнительнымобразовательнымпрограммам,85.42.19.900
717,развитиеимодернизацияавтоматизированныхинформационныхсистем,62.01.11.000
718,услугипопредоставлениюдоступакпрограммномупродукту,63.11.11.000
719,"вода""мия""19л.",11.07.11.120
720,стрейч-пленкадляручн.упак180%20мкм50смx220м2кгнетто(6шт/уп),22.21.41.120
721,"зеркалонавесное80х70см,ромбsilver(серебро)",23.12.13.110
722,"диспенсердляклейкойлентыупаковочнойunibobk-290,50мм",22.29.21.000
723,"зеркалонавесное70х50см,ромбsilver(серебро),пленкабезопасности",23.12.13.110
724,пакет-майкапнд25+12х4512мкм100шт./уп.белая,13.92.21.120
725,короб650х450х450картонт23бурый10шт./уп,17.23.13.193
726,"зеркалонавесное170х70см,ромбsilver(серебро)",23.12.13.110
727,"зеркалонавесное150х50см,ромбsilver(серебро)",23.12.13.110
728,"корзинадлямусора10лпластик,чернаяэконом",46.49.19.000
729,"услугипохранениюоборудования,споследующейутилизацией",38.12.23.000
730,"предоставлениеправиспользованиябазыданных""amazinghiring""",58.29.50.000
731,услугипотехническомуобслуживаниюзащищенногоподключенияксистемемежведомственногоэлектронноговзаимодействия,62.02.30.000
732,папка-регистратор50ммсмет.уг.мраморч/б,17.23.13.193
733,hatberблокнотdiamondneon80листоввклеткуцветоранжевыйформата5,17.23.13.191
734,"блокдлязаписейstaffвподставкепрозрачной,куб9х9х5см,белый,белизна90-92%",17.23.13.199
735,"этикеткасамоклеящаясяа4,12этикеток105х48мм,белая,70г/м2,50л.,brauberg,сырьефинляндия",17.23.13.199
736,зажимыдлябумагattache15ммчерные12шт,25.99.23.000
737,"этикеткасамоклеящаясяlomondналистеформатаа4,24этикетки,размер70х37мм,лимонно-желтая,50л.,2130165",17.23.13.199
738,"скрепкиattacheтреугольные25мм,никелированные100шт.вкарт.уп.",25.99.23.000
739,папкаскоросшивательпластиковыйспружинныммеханизмомattacheа4,17.23.13.193
740,"папка-уголокжесткая,непрозрачнаяbrauberg,синяя,0,15мм",22.29.25.000
741,"этикеткасамоклеящаясяlomondналистеформатаа4,24этикетки,размер70х37мм,зеленая,50л.,2120165",17.23.13.199
742,пружиныдляпереплетапластиковыеpromegaoffice10ммчерные(100штуквупаковке),22.29.25.000
743,"ластиккаучуковыйmilan4424,белый,картонныйдержательразноцветный",22.19.73.120
744,"резинкабанковская,200грвупаковке",22.19.73.120
745,этикеткисамоклеящиесяpromegalabel70х37мм24штналистеа4(50листовупаковка),17.23.13.199
746,папкафайловаяна80файловкомусшелксиняя,22.29.25.000
747,папка-конвертнакнопкеberlingo,22.29.25.000
748,"папка20вкладышейbraubergстандарт,синяя,0,6мм,221595",22.29.25.000
749,клейсиликатныйattache110мл,20.52.10.190
750,папка-уголокattacheа3180мкмсиняя,22.29.25.000
751,"папка-уголокжесткая,непрозрачнаяbrauberg,красная,0,15мм",22.29.25.000
752,"пленки-заготовкидляламинированияbrauberg,комплект100шт.,дляформатаа4,200мкм",22.21.42.120
753,"подушкаштемпельнаясменнаяe/r45син.дляpr.r45,r2045,46045,5215(аналог)",32.99.16.140
754,файл-вкладышbraubergа345мкм,22.29.25.000
755,папкафайловаяattachekt-40/07краснаяроссия,22.29.25.000
756,"папкауголок180мкмattacheeconomyэлементари,прозрачный10шт.вупаковке",22.29.25.000
757,"маркерыдлядоскиbrauberg,набор4шт.,классические,круглыйнаконечник5мм(черный,синий,красный,зеленый)",32.99.12.120
758,краскаштемпельнаяattacheсиняя45мл,20.59.30.190
759,"папка-конвертнакнопкеberlingo,а4,180мкм,зелёная",22.29.25.000
760,"зажимдлябумагattache25мм12штуквупаковке,вкартоннойкоробке,черный",25.99.23.000
761,ножканцелярский9ммattacheсфиксатором,25.71.13.110
762,"папка-уголокжесткая,непрозрачнаяbrauberg,зеленая,0,15мм",22.29.25.000
763,ручкашариковаяberlingopr-05синяя,32.99.12.110
764,"обложкидляпереплетаbrauberg,комплект100шт.,тиснениеподкожу,а4,картон230г/м2,черные",17.23.13.199
765,разделительлистова-яалфавитныйпластик.комус,22.29.25.000
766,"обложкидляпереплетаbrauberg,комплект100шт.,тиснениеподкожу,а4,картон230г/м2,белые",22.29.25.000
767,папкаадреснаянаподписьа4бумвинилбордовая(5штуквупаковке),22.29.25.000
768,"папка-конвертнакнопкеberlingo,а4,180мкм,красная",22.29.25.000
769,"разделительлистов12цветов,пластик,attacheeconomyарт.347861",22.29.25.000
770,файл-вкладышofficespaceа440мкм,22.29.25.000
771,подставкадляканцелярскихмелочейattacheавангард5отделенийчерный,22.29.25.000
772,папканарезинкахattachef315/06красная,22.29.25.000
773,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификации«моделированиеиразработкапрограммногообеспечения»,85.42.19.900
774,разработкаконтентаонлайн-курса,85.41.93.000
775,"клейкаялентаупаковочнаяunibobпрозрачная50ммx66мтолщина47мкм(морозостойкая,6штуквупаковке)",22.29.21.000
776,"клейкаялентадвухсторонняя,50ммх10м,unibob,основа-полипропилен,упаковкасевроподвесом",22.29.21.000
777,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификации«администрированиесетейибазданных»,85.23.11.000
778,"оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификацииприиспользованиипрограммныхпродуктовmicrosoft,itam-ts",85.42.19.900
779,образовательныеуслугиподополнительнымпрофессиональнымпрограммамповышенияквалификациипотемамцифровойтрансформации,85.42.19.900
780,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациипопрограмме«поддержкаоперационныхсистемисетейcisco»,85.42.19.900
781,"оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациипопрограмме«тестирование,поискиустранениенеисправностей»",85.41.99.900
782,образовательныеуслугипопрограммампрофессиональнойпереподготовки«информационнаябезопасность»и«информационно-коммуникационныетехнологии.системныйадминистратор»,85.42.19.900
783,специальнаяоценкаусловийтруда(пакетнаяпрограмма),71.20.19.130
784,дезинфекцияоткоронавируса(covid-19),86.90.15.000
785,столруководителя,31.01.12.110
786,экраннарабочийстол1400,31.01.12.110
787,тумбасервисная,31.01.12.150
788,экраннарабочийстол1500,31.01.12.110
789,столрабочий1400,31.01.12.110
790,столдляпереговоровтандем-асенатордубшамони2400х1200х759мм,31.01.12.110
791,столрабочий,31.01.12.110
792,столприставной,31.01.12.110
793,столрабочий,31.01.12.110
794,уборкапомещений,82.11.10.000
795,противопожарныеуслуги,84.25.11.120
796,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивобластисистемхраненияданных,85.23.11.000
797,образовательныеуслугиподополнительнымпрофессиональнымпрограммамповышенияквалификациипоработеспрограммнымобеспечением1с,85.42.19.900
798,физическаяохрана,84.24.19.000
799,оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификациивобластитехнологийголосовыхивидео-коммуникацийвинтернетеикорпоративныхсетях,85.42.19.900
800,разработкаивизуализациянавигационнойсистемы,26.60.12.119
801,пультоваяохранаитехническоеобслуживаниекомплексатехническихсредствохраны,80.20.10.000
802,"оказаниеуслугпопредоставлениюправнаиспользованиюбазыданных""эдюсон""",58.29.50.000
803,санитарноесодержаниеиуборканежилыхзданий,81.21.10.000
804,лезвиеcarbide(5шт.)дляножаstanley0-11-800,25.71.13.110
805,чашкадляопечатываниясфлажком,20.59.52.110
806,механическиймикрометр,32.50.50.190
807,ножкровельныйstanley99eretractable2-10-099страпециевиднымлезвием,24.33.20.000
808,монтажоборудованиявидеонаблюдения,43.21.10.120
809,монтажоборудованияскуд,26.30.50.119
810,"шкафархивныйnl,1860х850х500мм",31.01.11.122
